# log n	log T	log cool/n2	log heat/n2
  3.00	 1.00	    -28.891	    -27.276
  3.00	 1.25	    -28.378	    -27.276
  3.00	 1.50	    -27.998	    -27.277
  3.00	 1.75	    -27.677	    -27.277
  3.00	 2.00	    -27.259	    -27.277
  3.00	 2.25	    -26.752	    -27.277
  3.00	 2.50	    -26.333	    -27.278
  3.00	 2.75	    -26.030	    -27.278
  3.00	 3.00	    -25.800	    -27.278
  3.00	 3.25	    -25.618	    -27.278
  3.00	 3.50	    -25.452	    -27.276
  3.00	 3.75	    -25.208	    -27.273
  3.00	 4.00	    -24.615	    -27.259
  3.00	 4.25	    -21.808	    -27.308
  3.00	 4.50	    -21.963	    -28.047
  3.00	 4.75	    -21.637	    -27.767
  3.00	 5.00	    -21.278	    -26.817
  3.00	 5.25	    -21.311	    -26.569
  3.00	 5.50	    -21.466	    -26.553
  3.00	 5.75	    -21.747	    -26.767
  3.00	 6.00	    -21.814	    -26.967
  3.00	 6.25	    -21.968	    -27.169
  3.00	 6.50	    -22.387	    -27.356
  3.00	 6.75	    -22.502	    -27.483
  3.00	 7.00	    -22.491	    -27.553
  3.00	 7.25	    -22.640	    -27.715
  3.00	 7.50	    -22.660	    -27.831
  3.00	 7.75	    -22.583	    -27.948
  3.00	 8.00	    -22.489	    -28.100
  3.00	 8.25	    -22.391	    -28.430
  3.00	 8.50	    -22.280	    -28.748
  3.00	 8.75	    -22.158	    -29.065
  3.00	 9.00	    -22.026	    -29.502
