# log n	log T	log cool/n2	log heat/n2
  3.00	 1.00	    -28.891	    -27.274
  3.00	 1.25	    -28.378	    -27.274
  3.00	 1.50	    -27.998	    -27.274
  3.00	 1.75	    -27.677	    -27.274
  3.00	 2.00	    -27.259	    -27.274
  3.00	 2.25	    -26.751	    -27.275
  3.00	 2.50	    -26.332	    -27.275
  3.00	 2.75	    -26.029	    -27.275
  3.00	 3.00	    -25.799	    -27.275
  3.00	 3.25	    -25.617	    -27.274
  3.00	 3.50	    -25.452	    -27.272
  3.00	 3.75	    -25.208	    -27.269
  3.00	 4.00	    -24.614	    -27.254
  3.00	 4.25	    -21.809	    -27.216
  3.00	 4.50	    -21.964	    -27.132
  3.00	 4.75	    -21.637	    -26.619
  3.00	 5.00	    -21.279	    -26.102
  3.00	 5.25	    -21.311	    -25.547
  3.00	 5.50	    -21.467	    -25.611
  3.00	 5.75	    -21.747	    -25.915
  3.00	 6.00	    -21.814	    -26.136
  3.00	 6.25	    -21.968	    -26.413
  3.00	 6.50	    -22.387	    -26.861
  3.00	 6.75	    -22.502	    -27.338
  3.00	 7.00	    -22.491	    -27.659
  3.00	 7.25	    -22.640	    -28.189
  3.00	 7.50	    -22.660	    -28.395
  3.00	 7.75	    -22.583	    -28.467
  3.00	 8.00	    -22.489	    -28.484
  3.00	 8.25	    -22.391	    -28.467
  3.00	 8.50	    -22.280	    -28.388
  3.00	 8.75	    -22.158	    -28.249
  3.00	 9.00	    -22.026	    -28.070
