# log n	log T	log cool/n2	log heat/n2
  3.00	 1.00	    -28.891	    -27.280
  3.00	 1.25	    -28.378	    -27.280
  3.00	 1.50	    -27.998	    -27.281
  3.00	 1.75	    -27.677	    -27.280
  3.00	 2.00	    -27.260	    -27.281
  3.00	 2.25	    -26.753	    -27.281
  3.00	 2.50	    -26.334	    -27.282
  3.00	 2.75	    -26.031	    -27.282
  3.00	 3.00	    -25.801	    -27.282
  3.00	 3.25	    -25.619	    -27.282
  3.00	 3.50	    -25.453	    -27.280
  3.00	 3.75	    -25.209	    -27.277
  3.00	 4.00	    -24.615	    -27.262
  3.00	 4.25	    -21.812	    -27.014
  3.00	 4.50	    -21.965	    -26.479
  3.00	 4.75	    -21.636	    -25.896
  3.00	 5.00	    -21.279	    -25.467
  3.00	 5.25	    -21.313	    -24.907
  3.00	 5.50	    -21.469	    -25.039
  3.00	 5.75	    -21.748	    -25.505
  3.00	 6.00	    -21.815	    -25.773
  3.00	 6.25	    -21.969	    -26.155
  3.00	 6.50	    -22.388	    -26.689
  3.00	 6.75	    -22.502	    -27.149
  3.00	 7.00	    -22.491	    -27.478
  3.00	 7.25	    -22.640	    -28.131
  3.00	 7.50	    -22.660	    -28.493
  3.00	 7.75	    -22.583	    -28.653
  3.00	 8.00	    -22.489	    -28.685
  3.00	 8.25	    -22.391	    -28.627
  3.00	 8.50	    -22.280	    -28.436
  3.00	 8.75	    -22.158	    -28.180
  3.00	 9.00	    -22.026	    -27.919
