# log n	log T	log cool/n2	log heat/n2
 -3.00	 1.00	    -25.660	    -21.849
 -3.00	 1.25	    -25.311	    -21.928
 -3.00	 1.50	    -24.797	    -22.011
 -3.00	 1.75	    -24.408	    -22.096
 -3.00	 2.00	    -24.130	    -22.182
 -3.00	 2.25	    -23.879	    -22.265
 -3.00	 2.50	    -23.678	    -22.343
 -3.00	 2.75	    -23.546	    -22.412
 -3.00	 3.00	    -23.472	    -22.471
 -3.00	 3.25	    -23.446	    -22.521
 -3.00	 3.50	    -23.451	    -22.559
 -3.00	 3.75	    -23.425	    -22.589
 -3.00	 4.00	    -23.190	    -22.611
 -3.00	 4.25	    -22.674	    -22.628
 -3.00	 4.50	    -22.087	    -22.647
 -3.00	 4.75	    -21.649	    -22.659
 -3.00	 5.00	    -21.292	    -22.664
 -3.00	 5.25	    -21.314	    -22.665
 -3.00	 5.50	    -21.470	    -22.666
 -3.00	 5.75	    -21.748	    -22.666
 -3.00	 6.00	    -21.815	    -22.666
 -3.00	 6.25	    -21.969	    -22.666
 -3.00	 6.50	    -22.399	    -22.666
 -3.00	 6.75	    -22.550	    -22.666
 -3.00	 7.00	    -22.543	    -22.666
 -3.00	 7.25	    -22.640	    -22.666
 -3.00	 7.50	    -22.657	    -22.665
 -3.00	 7.75	    -22.578	    -22.665
 -3.00	 8.00	    -22.480	    -22.665
 -3.00	 8.25	    -22.378	    -22.665
 -3.00	 8.50	    -22.263	    -22.665
 -3.00	 8.75	    -22.136	    -22.665
 -3.00	 9.00	    -21.996	    -22.665
