# log n	log T	log cool/n2	log heat/n2
 -3.00	 1.00	    -25.658	    -21.845
 -3.00	 1.25	    -25.309	    -21.924
 -3.00	 1.50	    -24.795	    -22.007
 -3.00	 1.75	    -24.408	    -22.093
 -3.00	 2.00	    -24.130	    -22.179
 -3.00	 2.25	    -23.878	    -22.263
 -3.00	 2.50	    -23.676	    -22.341
 -3.00	 2.75	    -23.545	    -22.411
 -3.00	 3.00	    -23.471	    -22.471
 -3.00	 3.25	    -23.445	    -22.520
 -3.00	 3.50	    -23.451	    -22.559
 -3.00	 3.75	    -23.425	    -22.589
 -3.00	 4.00	    -23.190	    -22.611
 -3.00	 4.25	    -22.676	    -22.627
 -3.00	 4.50	    -22.088	    -22.646
 -3.00	 4.75	    -21.650	    -22.659
 -3.00	 5.00	    -21.293	    -22.664
 -3.00	 5.25	    -21.314	    -22.665
 -3.00	 5.50	    -21.470	    -22.666
 -3.00	 5.75	    -21.748	    -22.666
 -3.00	 6.00	    -21.815	    -22.666
 -3.00	 6.25	    -21.969	    -22.666
 -3.00	 6.50	    -22.399	    -22.666
 -3.00	 6.75	    -22.550	    -22.666
 -3.00	 7.00	    -22.543	    -22.666
 -3.00	 7.25	    -22.640	    -22.666
 -3.00	 7.50	    -22.657	    -22.665
 -3.00	 7.75	    -22.578	    -22.665
 -3.00	 8.00	    -22.480	    -22.665
 -3.00	 8.25	    -22.378	    -22.665
 -3.00	 8.50	    -22.263	    -22.665
 -3.00	 8.75	    -22.135	    -22.665
 -3.00	 9.00	    -21.996	    -22.665
