# log n	log T	log cool/n2	log heat/n2
 -3.00	 1.00	    -25.658	    -21.904
 -3.00	 1.25	    -25.309	    -21.998
 -3.00	 1.50	    -24.795	    -22.101
 -3.00	 1.75	    -24.408	    -22.213
 -3.00	 2.00	    -24.130	    -22.334
 -3.00	 2.25	    -23.878	    -22.462
 -3.00	 2.50	    -23.677	    -22.595
 -3.00	 2.75	    -23.545	    -22.733
 -3.00	 3.00	    -23.471	    -22.874
 -3.00	 3.25	    -23.445	    -23.015
 -3.00	 3.50	    -23.451	    -23.156
 -3.00	 3.75	    -23.425	    -23.293
 -3.00	 4.00	    -23.190	    -23.426
 -3.00	 4.25	    -22.676	    -23.555
 -3.00	 4.50	    -22.088	    -23.766
 -3.00	 4.75	    -21.650	    -24.004
 -3.00	 5.00	    -21.293	    -24.604
 -3.00	 5.25	    -21.314	    -25.059
 -3.00	 5.50	    -21.470	    -25.383
 -3.00	 5.75	    -21.748	    -25.633
 -3.00	 6.00	    -21.815	    -25.812
 -3.00	 6.25	    -21.969	    -26.034
 -3.00	 6.50	    -22.399	    -26.473
 -3.00	 6.75	    -22.550	    -26.773
 -3.00	 7.00	    -22.543	    -27.003
 -3.00	 7.25	    -22.640	    -27.337
 -3.00	 7.50	    -22.657	    -27.536
 -3.00	 7.75	    -22.578	    -27.617
 -3.00	 8.00	    -22.480	    -27.683
 -3.00	 8.25	    -22.378	    -27.731
 -3.00	 8.50	    -22.263	    -27.755
 -3.00	 8.75	    -22.135	    -27.766
 -3.00	 9.00	    -21.996	    -27.771
