# log T	log cool/n2	log heat/n2
1.00	-27.891	-24.291
1.10	-27.687	-24.292
1.20	-27.420	-24.294
1.30	-27.103	-24.296
1.40	-26.781	-24.297
1.50	-26.489	-24.299
1.60	-26.234	-24.301
1.70	-26.014	-24.304
1.80	-25.819	-24.306
1.90	-25.635	-24.309
2.00	-25.456	-24.311
2.10	-25.279	-24.315
2.20	-25.112	-24.318
2.30	-24.962	-24.322
2.40	-24.830	-24.325
2.50	-24.719	-24.330
2.60	-24.625	-24.334
2.70	-24.547	-24.339
2.80	-24.482	-24.344
2.90	-24.425	-24.350
3.00	-24.375	-24.356
3.10	-24.331	-24.363
3.20	-24.289	-24.371
3.30	-24.245	-24.378
3.40	-24.195	-24.387
3.50	-24.131	-24.396
3.60	-24.051	-24.406
3.70	-23.952	-24.417
3.80	-23.826	-24.429
3.90	-23.647	-24.442
4.00	-23.329	-24.455
4.10	-22.723	-24.478
4.20	-22.008	-24.624
4.30	-21.820	-25.092
4.40	-21.936	-25.361
4.50	-21.957	-25.541
4.60	-21.884	-25.632
4.70	-21.733	-25.650
4.80	-21.527	-25.654
4.90	-21.341	-25.654
5.00	-21.276	-25.635
5.10	-21.322	-25.621
5.20	-21.324	-25.612
5.30	-21.300	-25.615
5.40	-21.291	-25.617
5.50	-21.466	-25.620
5.60	-21.674	-25.633
5.70	-21.725	-25.643
5.80	-21.778	-25.651
5.90	-21.807	-25.655
6.00	-21.814	-25.656
6.10	-21.837	-25.658
6.20	-21.892	-25.660
6.30	-22.070	-25.662
6.40	-22.251	-25.663
6.50	-22.387	-25.664
6.60	-22.467	-25.665
6.70	-22.497	-25.665
6.80	-22.502	-25.665
6.90	-22.492	-25.665
7.00	-22.491	-25.665
7.10	-22.535	-25.665
7.20	-22.611	-25.665
7.30	-22.658	-25.665
7.40	-22.670	-25.665
7.50	-22.660	-25.665
7.60	-22.634	-25.665
7.70	-22.601	-25.665
7.80	-22.564	-25.665
7.90	-22.526	-25.665
8.00	-22.489	-25.665
8.10	-22.450	-25.665
8.20	-22.410	-25.665
8.30	-22.369	-25.665
8.40	-22.320	-25.661
8.50	-22.275	-25.661
8.60	-22.227	-25.661
8.70	-22.183	-25.665
8.80	-22.132	-25.665
8.90	-22.079	-25.665
9.00	-22.026	-25.665
