log T	log cool/n2	log heat/n2
1.00	-28.439	-26.238
1.10	-28.208	-26.238
1.20	-28.002	-26.238
1.30	-27.816	-26.239
1.40	-27.648	-26.239
1.50	-27.497	-26.239
1.60	-27.360	-26.239
1.70	-27.231	-26.239
1.80	-27.098	-26.239
1.90	-26.941	-26.239
2.00	-26.752	-26.240
2.10	-26.541	-26.240
2.20	-26.331	-26.240
2.30	-26.136	-26.240
2.40	-25.965	-26.241
2.50	-25.820	-26.241
2.60	-25.697	-26.242
2.70	-25.595	-26.242
2.80	-25.508	-26.242
2.90	-25.433	-26.243
3.00	-25.367	-26.243
3.10	-25.306	-26.243
3.20	-25.249	-26.244
3.30	-25.192	-26.244
3.40	-25.129	-26.244
3.50	-25.056	-26.244
3.60	-24.967	-26.244
3.70	-24.856	-26.244
3.80	-24.717	-26.244
3.90	-24.523	-26.243
4.00	-24.158	-26.240
4.10	-23.293	-26.247
4.20	-22.009	-26.418
4.30	-21.813	-27.024
4.40	-21.935	-27.287
4.50	-21.955	-27.495
4.60	-21.883	-27.585
4.70	-21.732	-27.556
4.80	-21.527	-27.461
4.90	-21.341	-27.373
5.00	-21.277	-26.964
5.10	-21.323	-26.975
5.20	-21.324	-27.094
5.30	-21.300	-27.213
5.40	-21.291	-27.275
5.50	-21.465	-27.277
5.60	-21.674	-27.322
5.70	-21.725	-27.365
5.80	-21.778	-27.393
5.90	-21.807	-27.347
6.00	-21.814	-27.206
6.10	-21.837	-27.133
6.20	-21.892	-27.115
6.30	-22.070	-26.961
6.40	-22.252	-26.936
6.50	-22.387	-27.035
6.60	-22.467	-27.081
6.70	-22.497	-27.071
6.80	-22.503	-27.083
6.90	-22.493	-27.117
7.00	-22.491	-27.155
7.10	-22.535	-27.182
7.20	-22.611	-27.201
7.30	-22.658	-27.228
7.40	-22.670	-27.263
7.50	-22.660	-27.291
7.60	-22.634	-27.297
7.70	-22.601	-27.267
7.80	-22.564	-27.205
7.90	-22.526	-27.160
8.00	-22.489	-27.229
8.10	-22.450	-27.292
8.20	-22.410	-27.349
8.30	-22.369	-27.399
8.40	-22.324	-27.445
8.50	-22.280	-27.485
8.60	-22.231	-27.520
8.70	-22.183	-27.550
8.80	-22.132	-27.575
8.90	-22.079	-27.596
9.00	-22.026	-27.613
