log T	log cool/n2	log heat/n2
1.00	-27.071	-23.336
1.10	-26.901	-23.340
1.20	-26.651	-23.345
1.30	-26.340	-23.351
1.40	-26.022	-23.356
1.50	-25.735	-23.363
1.60	-25.489	-23.369
1.70	-25.282	-23.376
1.80	-25.105	-23.384
1.90	-24.946	-23.392
2.00	-24.796	-23.401
2.10	-24.653	-23.411
2.20	-24.519	-23.421
2.30	-24.396	-23.432
2.40	-24.288	-23.444
2.50	-24.197	-23.457
2.60	-24.120	-23.471
2.70	-24.056	-23.485
2.80	-24.002	-23.501
2.90	-23.956	-23.518
3.00	-23.916	-23.536
3.10	-23.881	-23.556
3.20	-23.849	-23.577
3.30	-23.816	-23.599
3.40	-23.777	-23.623
3.50	-23.727	-23.648
3.60	-23.662	-23.676
3.70	-23.579	-23.705
3.80	-23.473	-23.735
3.90	-23.323	-23.768
4.00	-23.088	-23.802
4.10	-22.677	-23.841
4.20	-22.151	-23.927
4.30	-21.890	-24.197
4.40	-21.942	-24.437
4.50	-21.961	-24.563
4.60	-21.885	-24.635
4.70	-21.733	-24.653
4.80	-21.527	-24.658
4.90	-21.342	-24.661
5.00	-21.276	-24.662
5.10	-21.322	-24.663
5.20	-21.324	-24.664
5.30	-21.300	-24.665
5.40	-21.291	-24.665
5.50	-21.466	-24.665
5.60	-21.674	-24.666
5.70	-21.725	-24.666
5.80	-21.778	-24.666
5.90	-21.807	-24.666
6.00	-21.814	-24.665
6.10	-21.837	-24.665
6.20	-21.892	-24.665
6.30	-22.070	-24.664
6.40	-22.252	-24.664
6.50	-22.387	-24.664
6.60	-22.467	-24.664
6.70	-22.497	-24.664
6.80	-22.503	-24.664
6.90	-22.493	-24.665
7.00	-22.491	-24.665
7.10	-22.535	-24.665
7.20	-22.611	-24.665
7.30	-22.658	-24.665
7.40	-22.671	-24.665
7.50	-22.661	-24.665
7.60	-22.635	-24.665
7.70	-22.602	-24.665
7.80	-22.564	-24.665
7.90	-22.525	-24.665
8.00	-22.489	-24.665
8.10	-22.450	-24.665
8.20	-22.410	-24.665
8.30	-22.368	-24.665
8.40	-22.324	-24.665
8.50	-22.280	-24.665
8.60	-22.231	-24.665
8.70	-22.182	-24.665
8.80	-22.132	-24.665
8.90	-22.079	-24.665
9.00	-22.025	-24.665
